Urban,PCTGQTRS,HUNVFlag,Unemployment rate; Estimate; EDUCATIONAL ATTAINMENT 0 Some college or associate's degree,Total; Estimate; Some college no degree
1,0.000681,0,0,9.3
1,0.035461,0,0,6.8
1,0.008222,0,7.7,10.9
1,0.0089117,0,0,11.4
1,0.035826,0,16.1,20.4
1,0.0038192,1,4.8,14.4
1,0.0397052,1,13.5,21.5
1,0.042571,1,0,13.6
1,0.0008688,0,6.1,23.4
1,0.0040507,1,5.4,28
1,0.0360924,0,15.7,20.8
1,0.0190397,0,0,13.3
1,0.1643991,0,7.2,10.4
1,0.1177561,0,7.2,22.2
1,0.1577947,0,20.6,31
1,0.0263523,0,5,20.1
1,0.04012,0,0,30.6
1,0.0005872,1,9.9,31
1,0.0062893,1,11.4,29.9
1,0.0093577,0,19.7,27.8
1,0.0011211,1,12.7,19.8
1,0.0026064,0,18.2,8.5
1,0.0031867,0,0,24.2
1,0.0929746,0,29.8,22.9
1,0.055788,0,0,22.4
1,0.0329986,0,19.9,4
1,0.4401251,0,14.9,12.4
1,0.0115935,0,4.7,7.5
1,0.0074771,0,5.8,27.1
1,0.0075446,0,18.4,21.2
1,0.0090407,0,23.3,15.2
1,0.0363677,0,8.4,19.1
1,0.0208736,0,0,12.9
1,0,0,4.9,25
1,0.0046229,0,8.4,11.4
1,0.0097656,0,6.6,22.7
1,0,0,5.9,15.7
1,0.0020485,0,4.3,12.7
1,0.0556286,0,0,15.9
1,0.0453632,0,0,4.9
1,0.0009323,0,0,5
1,0,0,4.6,10.9
1,0,0,0,5.3
1,0.0010373,0,0,10.8
1,0,0,0,13
1,0.0005118,0,7.5,16.9
1,0.0007452,0,0.8,21.7
1,0,0,18.3,20.2
1,0.0006378,1,6.3,19.5
1,0,0,15.2,12.2
1,0.0026104,0,0,17.6
1,0.0003842,0,3.1,15.3
1,0,0,23.2,17.8
1,0.0080869,0,14.2,15.1
1,0.0301863,0,9.4,30.5
1,0.003843,1,1.9,27.4
1,0,1,14.2,14.6
1,0.0046253,1,2.5,24.9
1,0,1,23.7,14.3
1,0.0074169,1,4.1,19.1
1,0.0016474,0,6.1,18.3
1,0.0017391,0,0,13.6
1,0.0100434,0,5.4,11.1
1,0.0101097,0,18.4,13.2
1,0.0489614,0,0,16.7
1,0.0114272,0,3.6,17.8
1,0.146387,0,61.8,20.7
1,0.0124789,0,18.9,17.3
1,0.0019582,1,7.8,26.2
1,0.0132371,0,0,17.5
1,0.0079239,0,5.8,12.2
